country	code	year	arrivals	rec_exports	rec_cusd	rec_ptransi	rec_traveli	transport	travel	comserexp	gni_pc	inflation	gdp_deflator
Algeria	DZA	YR1975	.	.	.	.	.	.	.	.	780.000000000000	5.914022113201	51.036867213919
Algeria	DZA	YR1976	.	.	.	.	.	.	.	.	980.000000000000	10.840592698366	56.569566114586
Algeria	DZA	YR1977	.	.	.	.	.	37.423255813954	38.697674418605	259238642.295103000000	1100.000000000000	11.927099473003	63.316674536518
Algeria	DZA	YR1978	.	.	.	.	.	43.385146804836	31.865284974093	291989208.071810000000	1270.000000000000	10.085121008471	69.702237782066
Algeria	DZA	YR1979	.	.	.	.	.	47.606382978723	23.699763593381	439107943.157955000000	1500.000000000000	13.987837972171	79.452073865998
Algeria	DZA	YR1980	.	.	.	.	.	43.718622300058	25.685931115003	446390181.095881000000	1750.000000000000	25.862038753901	100.000000000000
Algeria	DZA	YR1981	.	.	.	.	.	43.188481675393	34.240837696335	442559041.765268000000	2010.000000000000	14.353999541297	114.353999541297
Algeria	DZA	YR1982	.	.	.	.	.	42.026086956522	29.260869565217	500850175.134426000000	2230.000000000000	1.939794169954	116.572231757509
Algeria	DZA	YR1983	.	.	.	.	.	48.934320669672	23.438506117193	648596725.828725000000	2290.000000000000	6.804795897432	124.504734201689
Algeria	DZA	YR1984	.	.	.	.	.	44.167842031030	23.695345557123	569092231.717886000000	2350.000000000000	8.433505551671	135.004847872681
Algeria	DZA	YR1985	.	.	.	.	.	45.352551616673	17.919750681730	510561279.287163000000	2450.000000000000	4.972526405732	141.717999582168
Algeria	DZA	YR1986	.	.	.	.	.	45.367947669665	19.991823385119	520169136.489460000000	2540.000000000000	2.405343264629	145.126803939885
Algeria	DZA	YR1987	.	.	.	.	.	46.823161189359	19.053208137715	527038381.769475000000	2600.000000000000	8.842020400853	157.958945551355
Algeria	DZA	YR1988	.	.	.	.	.	47.356495468278	18.957703927492	447693061.997374000000	2510.000000000000	9.060963496332	172.271547946954
Algeria	DZA	YR1989	.	.	.	.	.	46.143014908890	13.500828271673	476042877.154783000000	2410.000000000000	16.011373510963	199.854588941860
Algeria	DZA	YR1990	.	.	.	.	.	41.655783582090	13.409514925373	478704550.465578000000	2290.000000000000	30.259598481874	260.329785103266
Algeria	DZA	YR1991	.	.	.	.	.	45.187806992199	22.291245304825	374711570.343003000000	1960.000000000000	53.788604227670	400.357542899206
Algeria	DZA	YR1992	.	.	.	.	.	.	.	.	1860.000000000000	21.926114507899	488.140396196297
Algeria	DZA	YR1993	.	.	.	.	.	.	.	.	1730.000000000000	13.624424663048	554.646716725967
Algeria	DZA	YR1994	.	.	.	.	.	.	.	.	1650.000000000000	29.077647335932	715.924932975871
Algeria	DZA	YR1995	520000.000000000000	.	32000000.000000000000	.	.	.	.	.	1580.000000000000	28.577037501982	920.515069558423
Algeria	DZA	YR1996	605000.000000000000	.	45000000.000000000000	.	.	.	.	.	1540.000000000000	24.021904059533	1141.640316421290
Algeria	DZA	YR1997	635000.000000000000	.	28000000.000000000000	.	.	.	.	.	1530.000000000000	7.001963062775	1221.577549686850
Algeria	DZA	YR1998	678000.000000000000	.	74000000.000000000000	.	.	.	.	.	1570.000000000000	-3.131088694604	1183.328873132790
Algeria	DZA	YR1999	749000.000000000000	.	80000000.000000000000	.	.	.	.	.	1560.000000000000	10.856407619393	1311.795879078050
Algeria	DZA	YR2000	866000.000000000000	.	102000000.000000000000	.	.	.	.	.	1610.000000000000	24.598098845405	1634.472726063610
Algeria	DZA	YR2001	901000.000000000000	.	100000000.000000000000	.	.	.	.	.	1680.000000000000	0.711209518496	1646.097251668590
Algeria	DZA	YR2002	988000.000000000000	.	111000000.000000000000	.	.	.	.	.	1750.000000000000	1.906328849240	1677.477278463700
Algeria	DZA	YR2003	1166000.000000000000	.	112000000.000000000000	.	.	.	.	.	1950.000000000000	8.323802693227	1817.107177346730
Algeria	DZA	YR2004	1234000.000000000000	.	178000000.000000000000	.	.	.	.	.	2290.000000000000	10.629329214284	2010.253481403290
Algeria	DZA	YR2005	1443000.000000000000	.	184000000.000000000000	.	.	.	.	.	2720.000000000000	16.459252868770	2341.126185210710
Algeria	DZA	YR2006	1638000.000000000000	.	215000000.000000000000	.	.	.	.	.	3110.000000000000	10.609522409451	2589.508492464170
Algeria	DZA	YR2007	1743000.000000000000	.	219000000.000000000000	.	.	.	.	.	3610.000000000000	6.792100124909	2765.390502015370
Algeria	DZA	YR2008	.	.	.	.	.	.	.	.	4260.000000000000	17.155335104925	3239.802509595870
American Samoa	ASM	YR1960	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1961	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1962	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1963	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1964	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1965	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1966	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1967	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1968	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1969	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1970	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1971	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1972	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1973	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1974	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1975	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1976	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1977	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1978	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1979	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1980	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1981	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1982	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1983	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1984	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1985	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1986	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1987	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1988	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1989	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1990	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1991	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1992	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1993	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1994	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1995	34000.000000000000	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1996	35000.000000000000	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1997	26000.000000000000	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1998	36000.000000000000	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR1999	41000.000000000000	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR2000	44000.000000000000	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR2001	36000.000000000000	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR2002	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR2003	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR2004	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR2005	24000.000000000000	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR2006	25000.000000000000	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR2007	.	.	.	.	.	.	.	.	.	.	.
American Samoa	ASM	YR2008	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1960	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1961	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1962	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1963	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1964	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1965	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1966	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1967	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1968	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1969	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1970	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1971	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1972	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1973	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1974	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1975	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1976	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1977	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1978	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1979	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1980	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1981	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1982	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1983	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1984	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1985	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1986	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1987	.	.	.	.	.	.	.	.	.	.	.
Andorra	ADO	YR1988	.	.	.	.	.	.	.	.	.	.	.
